epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,38.3774,1.88897,2.94221,0.00244,0.03774,0.23855,0.20092,0.10453,1.3866,3.22033,0.00192,0.000410448,0.000410448,0.000410448
2,58.1923,1.71773,1.74439,0.002,0.79569,0.27624,0.32117,0.17395,1.39223,1.80111,0.00183,0.000818926,0.000818926,0.000818926
3,78.198,1.64468,1.51152,0.00188,0.76761,0.39107,0.42841,0.25117,1.36443,1.41876,0.00174,0.00121915,0.00121915,0.00121915
4,97.5795,1.6221,1.3726,0.00186,0.8617,0.41494,0.50604,0.29154,1.32216,1.22761,0.0017,0.00121287,0.00121287,0.00121287
5,116.868,1.62884,1.26748,0.00183,0.84595,0.47754,0.59815,0.3027,1.34741,1.10607,0.00171,0.0012005,0.0012005,0.0012005
6,136.913,1.61321,1.14964,0.00188,0.84711,0.55159,0.64772,0.37287,1.34543,0.98029,0.00174,0.00118812,0.00118812,0.00118812
7,155.675,1.60117,1.06756,0.00181,0.75945,0.63715,0.69706,0.38971,1.27139,0.88584,0.00165,0.00117575,0.00117575,0.00117575
8,176.016,1.53045,0.98687,0.00174,0.80436,0.67222,0.72045,0.40751,1.37838,0.84302,0.00174,0.00116337,0.00116337,0.00116337
9,195.083,1.53707,0.93847,0.00172,0.84936,0.65346,0.74501,0.41227,1.29587,0.90804,0.00162,0.001151,0.001151,0.001151
10,215.334,1.53096,0.91595,0.00171,0.85406,0.60159,0.72745,0.39884,1.39872,0.81083,0.00173,0.00113863,0.00113863,0.00113863
11,234.328,1.53368,0.86466,0.00167,0.90346,0.62288,0.71036,0.41982,1.28326,0.73148,0.00165,0.00112625,0.00112625,0.00112625
12,254.551,1.51636,0.82701,0.00168,0.84708,0.70514,0.7557,0.44104,1.29097,0.69012,0.00164,0.00111388,0.00111388,0.00111388
13,273.685,1.50372,0.80917,0.00166,0.83808,0.72312,0.75774,0.41659,1.39859,0.71043,0.00175,0.0011015,0.0011015,0.0011015
14,293.587,1.49689,0.7763,0.00163,0.81908,0.66047,0.72994,0.4212,1.31549,0.67512,0.00164,0.00108913,0.00108913,0.00108913
15,312.876,1.51394,0.77955,0.00167,0.84125,0.69892,0.75848,0.43352,1.30402,0.65804,0.00164,0.00107675,0.00107675,0.00107675
